entity_id,tx_cnt,amt_mean,amt_median,amt_std,amt_skew,amt_kurt,amt_q025,amt_q05,amt_q95,amt_q975,ref_count,ref_vol,acq_curr_differs,uniq_curr,loc_cur_ratio,dates_spread,uniq_days,holiday_ratio,weekend_ratio,uniq_pans_ratio,non_loc_pans_ratio,tx_online_ratio,vol_chg_q2,vol_chg_q3,vol_chg_q4,ref_pct,ref_vol_pct,vel_purch_cnt,vel_purch_vol,vel_ref_cnt,vel_ref_vol,num_outlets
EID-523,22276,7.603476387143032,6.77,4.0191171126714424,2.813215019960757,25.383114637937812,3.09875,4.03,15.2425,17.72,0.0,0.0,0.0,1,1.0,329,310,0.03708026575686838,0.2830400430957084,0.3725534207218531,0.03206623343747306,0.0,0.34243576491019945,0.1166073267809109,-0.38527317081955603,0.0,0.0,67.7082066869301,514.8177507598729,0.0,0.0,1
EID-527,15292,7.185693826837545,6.42,5.390030573383489,27.787918452452896,1741.7133108029172,2.88,3.61,14.27,17.229000000000013,0.0,0.0,0.0,1,1.0,329,329,0.015498299764582788,0.15269421919958148,0.4082526811404656,0.053600948702557494,6.539366989275438e-05,0.009916317557395082,0.07860023875137001,-0.35547191214986484,0.0,0.0,46.48024316109422,333.9927963525828,0.0,0.0,1
EID-532,6890,8.223648766327983,7.06,4.954761298522085,3.299471563958583,29.056672346023102,2.77225,4.04,17.27,20.557749999999995,0.0,0.0,0.0,1,1.0,175,173,0.03062409288824383,0.341944847605225,0.5988388969521045,0.050825053031148815,0.0011611030478955006,-0.08983428424250406,0.0,0.0,0.0,0.0,39.371428571428574,323.7767999999989,0.0,0.0,1
EID-534,20934,7.383733161364183,6.49,4.139316165173281,3.4511928834354864,36.46015380154059,2.29,3.98,15.02,17.626749999999994,0.0,0.0,0.0,1,1.0,329,327,0.028709276774625012,0.2978886022738129,0.38415974013566445,0.0623766630321565,9.553835865099838e-05,-0.04213291400119268,0.031411652392253187,-0.3217302520383568,0.0,0.0,63.62917933130699,469.8208814589599,0.0,0.0,1
EID-536,24251,6.703925611314932,5.83,5.0965774126330246,26.62319484669216,1712.046211592166,1.84,2.57,12.96,15.9275,0.0,0.0,0.0,1,1.0,328,315,0.004247247536184075,0.15537503608098635,0.3980042060121232,0.13489486825634123,0.0003298833037812874,0.022405280693422736,-0.04573079323940488,-0.398110909263922,0.0,0.0,73.9359756097561,495.66128048780007,0.0,0.0,1
EID-537,38775,17.06901096066974,6.54,45.039531523597006,12.875523935890737,405.5723357426104,3.03,3.69,86.85299999999951,135.6065,0.0,0.0,0.0,1,1.0,329,329,0.024036105738233397,0.16234687298517086,0.38842037395228884,0.09709248973541329,0.08809800128949065,-0.039530270905644094,0.10743882040042751,-0.38497613725977087,0.0,0.0,117.85714285714286,2011.704863221791,0.0,0.0,2
EID-540,29773,6.802567090988479,6.11,4.857618193886261,17.383724815383772,812.8528920071791,1.85,2.32,13.603999999999978,16.797000000000008,0.0,0.0,0.0,1,1.0,329,327,0.008564807039935512,0.09347395291035503,0.29970107144056696,0.0834752674958158,6.71749571759648e-05,0.06108892557986145,0.03303909064544874,-0.3444987328154916,0.0,0.0,90.49544072948328,615.6013069908814,0.0,0.0,3
EID-548,16839,8.175012767979089,6.9,5.876530872475469,9.794531385181084,249.21357698472522,2.58,4.06,17.07,20.480999999999987,0.0,0.0,0.0,1,1.0,329,329,0.03735376209988717,0.331492368905517,0.41819585486073996,0.0709603762479889,5.938594928439931e-05,-0.027535159896544092,-0.0554965714621507,-0.3248118914379736,0.0,0.0,51.182370820668694,418.416534954407,0.0,0.0,1
EID-549,22897,5.882641394068999,5.01,3.265067949187208,10.811458152494833,488.3016339902276,2.17,2.21,10.82,13.315999999999987,0.0,0.0,0.0,1,1.0,328,271,0.0,0.04240730226667249,0.31991090535878064,0.03863821350239571,4.367384373498712e-05,0.0542968287930754,0.064073929601427,-0.15177758030982058,0.0,0.0,69.8079268292683,410.6549999999935,0.0,0.0,1
EID-550,17575,6.396081934566121,4.93,3.8914963728222847,11.133181748725653,413.42477331954564,3.34,3.6,13.062999999999994,14.626499999999979,0.0,0.0,0.0,1,1.0,179,145,0.0,0.03311522048364154,0.41951635846372687,0.11408250355618776,5.689900426742532e-05,-0.09344064412253239,0.0,0.0,0.0,0.0,98.18435754189944,627.9951955307239,0.0,0.0,2
EID-555,33461,5.9199686201845285,5.09,5.045329283131644,53.540461121715616,5386.286992489684,2.24,3.24,10.25,12.575,0.0,0.0,0.0,1,1.0,328,325,0.008308179671856788,0.16123247960312004,0.3284121813454469,0.13370564712823063,0.00047816861420758497,-0.4936552820086342,0.5029967886009672,-0.1929039743707277,0.0,0.0,102.01524390243902,603.92704268291,0.0,0.0,2
